"Statistic Label","County","Detailed Occupational Group","Year","UNIT","VALUE"
"Median Earned Income","Carlow","Actors, entertainers and presenters (incl. Dancers and choreographers and Musicians)","2016","Euro",""
"Median Earned Income","Carlow","Aircraft maintenance and related trades","2016","Euro",""
"Median Earned Income","Carlow","Finance and investment analysts and advisers","2016","Euro","38662"
"Median Earned Income","Carlow","Finance officers","2016","Euro",""
"Median Earned Income","Carlow","Financial accounts managers","2016","Euro","32684"
"Median Earned Income","Carlow","Financial administrative occupations n.e.c.","2016","Euro","21529"
"Median Earned Income","Carlow","Financial and accounting technicians","2016","Euro","17360"
"Median Earned Income","Carlow","Financial institution managers and directors","2016","Euro","56819"
"Median Earned Income","Carlow","Financial managers and directors","2016","Euro","51044"
"Median Earned Income","Carlow","Fire service officers (watch manager and below)","2016","Euro","30245"
"Median Earned Income","Carlow","Fishing and other elementary agriculture occupations n.e.c.","2016","Euro","19117"
"Median Earned Income","Carlow","Fishmongers and poultry dressers","2016","Euro",""
"Median Earned Income","Carlow","Aircraft pilots and flight engineers (incl. Air traffic controllers)","2016","Euro",""
"Median Earned Income","Carlow","Fitness instructors","2016","Euro","15037"
"Median Earned Income","Carlow","Floorers and wall tilers","2016","Euro",""
"Median Earned Income","Carlow","Florists","2016","Euro",""
"Median Earned Income","Carlow","Food, drink and tobacco process operatives","2016","Euro","19191"
"Median Earned Income","Carlow","Footwear and leather working trades","2016","Euro",""
"Median Earned Income","Carlow","Forestry workers","2016","Euro","17800"
"Median Earned Income","Carlow","Fork-lift truck drivers","2016","Euro","26976"
"Median Earned Income","Carlow","Functional managers and directors n.e.c.","2016","Euro","51400"
"Median Earned Income","Carlow","Furniture makers and other craft woodworkers","2016","Euro","25500"
"Median Earned Income","Carlow","Further and higher education teaching professionals","2016","Euro","64166"
"Median Earned Income","Carlow","Animal care services occupations n.e.c.","2016","Euro","20775"
"Median Earned Income","Carlow","Garage managers and proprietors","2016","Euro","32458"
"Median Earned Income","Carlow","Gardeners and landscape gardeners","2016","Euro","13707"
"Median Earned Income","Carlow","Glass and ceramics makers, decorators and finishers (incl. Glass and ceramics process operatives)","2016","Euro",""
"Median Earned Income","Carlow","Glaziers, window fabricators and fitters","2016","Euro","23162"
"Median Earned Income","Carlow","Graphic designers (incl. Product, clothing and related designers)","2016","Euro","23781"
"Median Earned Income","Carlow","Groundsmen and greenkeepers","2016","Euro","23551"
"Median Earned Income","Carlow","Hairdressers and related services (incl. Hairdressing and beauty salon managers and proprietors)","2016","Euro","14218"
"Median Earned Income","Carlow","Health and safety officers","2016","Euro",""
"Median Earned Income","Carlow","Health associate professionals n.e.c.","2016","Euro","16579"
"Median Earned Income","Carlow","Health care practice managers","2016","Euro","32564"
"Median Earned Income","Carlow","Architects and town planners (incl. Quantity surveyors and Chartered surveyors)","2016","Euro","37835"
"Median Earned Income","Carlow","Health professionals n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Health services and public health managers and directors","2016","Euro",""
"Median Earned Income","Carlow","Horticultural trades","2016","Euro","26548"
"Median Earned Income","Carlow","Hospital porters","2016","Euro",""
"Median Earned Income","Carlow","Hotel and accommodation managers and proprietors","2016","Euro","28442"
"Median Earned Income","Carlow","Housekeepers and related occupations","2016","Euro","15402"
"Median Earned Income","Carlow","Houseparents and residential wardens","2016","Euro",""
"Median Earned Income","Carlow","Housing officers","2016","Euro",""
"Median Earned Income","Carlow","Human resource managers and directors","2016","Euro","56936"
"Median Earned Income","Carlow","Human resources administrative occupations","2016","Euro",""
"Median Earned Income","Carlow","Architectural and town planning technicians (incl. Draughtspersons)","2016","Euro","35671"
"Median Earned Income","Carlow","Human resources and industrial relations officers","2016","Euro","30568"
"Median Earned Income","Carlow","Importers and exporters","2016","Euro",""
"Median Earned Income","Carlow","Industrial cleaning process occupations","2016","Euro",""
"Median Earned Income","Carlow","Information technology and telecommunications directors","2016","Euro","47564"
"Median Earned Income","Carlow","Inspectors of standards and regulations","2016","Euro",""
"Median Earned Income","Carlow","Insurance underwriters","2016","Euro",""
"Median Earned Income","Carlow","IT and telecommunications professionals n.e.c.","2016","Euro","39720"
"Median Earned Income","Carlow","IT business analysts, architects and systems designers","2016","Euro","75213"
"Median Earned Income","Carlow","IT engineers","2016","Euro","45760"
"Median Earned Income","Carlow","IT operations technicians","2016","Euro","39094"
"Median Earned Income","Carlow","Artists","2016","Euro",""
"Median Earned Income","Carlow","IT project and programme managers","2016","Euro",""
"Median Earned Income","Carlow","IT specialist managers","2016","Euro","73642"
"Median Earned Income","Carlow","IT user support technicians","2016","Euro","36614"
"Median Earned Income","Carlow","Journalists, newspaper and periodical editors","2016","Euro",""
"Median Earned Income","Carlow","Kitchen and catering assistants","2016","Euro","13175"
"Median Earned Income","Carlow","Laboratory technicians","2016","Euro","27967"
"Median Earned Income","Carlow","Large goods vehicle drivers","2016","Euro","27552"
"Median Earned Income","Carlow","Launderers, dry cleaners and pressers","2016","Euro","17986"
"Median Earned Income","Carlow","Legal associate professionals","2016","Euro","26873"
"Median Earned Income","Carlow","Legal professionals n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Arts officers, producers and directors","2016","Euro",""
"Median Earned Income","Carlow","Leisure and sports managers","2016","Euro","22757"
"Median Earned Income","Carlow","Leisure and theme park attendants","2016","Euro","14095"
"Median Earned Income","Carlow","Leisure and travel service occupations n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Librarians (incl. Archivists and curators)","2016","Euro","46932"
"Median Earned Income","Carlow","Local government administrative occupations","2016","Euro","36833"
"Median Earned Income","Carlow","Management consultants and business analysts","2016","Euro","49906"
"Median Earned Income","Carlow","Managers and directors in retail and wholesale","2016","Euro","30796"
"Median Earned Income","Carlow","Managers and directors in storage and warehousing","2016","Euro","34481"
"Median Earned Income","Carlow","Managers and directors in transport and distribution","2016","Euro","37446"
"Median Earned Income","Carlow","Managers and proprietors in agriculture and horticulture","2016","Euro","30203"
"Median Earned Income","Carlow","Assemblers (electrical and electronic products)","2016","Euro","28154"
"Median Earned Income","Carlow","Managers and proprietors in forestry, fishing and related services","2016","Euro",""
"Median Earned Income","Carlow","Managers and proprietors in horse-racing and related industries","2016","Euro",""
"Median Earned Income","Carlow","Managers and proprietors in other services n.e.c. (incl. Production managers and directors in mining and energy)","2016","Euro","41706"
"Median Earned Income","Carlow","Marine and waterways transport operatives","2016","Euro",""
"Median Earned Income","Carlow","Market and street traders and assistants","2016","Euro",""
"Median Earned Income","Carlow","Market research interviewers","2016","Euro",""
"Median Earned Income","Carlow","Marketing and sales directors","2016","Euro","67281"
"Median Earned Income","Carlow","Marketing associate professionals","2016","Euro","27663"
"Median Earned Income","Carlow","Mechanical engineers","2016","Euro","51880"
"Median Earned Income","Carlow","Medical and dental technicians (incl. Dental nurses)","2016","Euro","24476"
"Median Earned Income","Carlow","Assemblers (vehicles and metal goods) (incl. Assemblers and routine operatives n.e.c.)","2016","Euro","27057"
"Median Earned Income","Carlow","Medical practitioners","2016","Euro","116279"
"Median Earned Income","Carlow","Medical radiographers","2016","Euro",""
"Median Earned Income","Carlow","Merchandisers and window dressers","2016","Euro",""
"Median Earned Income","Carlow","Metal machining setters and setter-operators","2016","Euro","29583"
"Median Earned Income","Carlow","Metal making and treating process operatives","2016","Euro",""
"Median Earned Income","Carlow","Metal working machine operatives","2016","Euro","26379"
"Median Earned Income","Carlow","Metal working production and maintenance fitters","2016","Euro","33472"
"Median Earned Income","Carlow","Mobile machine drivers and operatives n.e.c.","2016","Euro","25382"
"Median Earned Income","Carlow","Moulders, core makers and die casters","2016","Euro",""
"Median Earned Income","Carlow","National government administrative occupations","2016","Euro","36319"
"Median Earned Income","Carlow","Authors, writers and translators","2016","Euro",""
"Median Earned Income","Carlow","Natural and social science professionals n.e.c.","2016","Euro","41791"
"Median Earned Income","Carlow","NCOs and other ranks in armed forces","2016","Euro",""
"Median Earned Income","Carlow","Nursery nurses and assistants and playworkers (incl. playgroup leaders)","2016","Euro","14379"
"Median Earned Income","Carlow","Nursing and midwifery professionals","2016","Euro","40375"
"Median Earned Income","Carlow","Nursing auxiliaries and assistants (incl. Ambulance staff (excl. paramedics))","2016","Euro","21598"
"Median Earned Income","Carlow","Occupational therapists","2016","Euro","49630"
"Median Earned Income","Carlow","Office managers","2016","Euro","30156"
"Median Earned Income","Carlow","Office supervisors","2016","Euro","39685"
"Median Earned Income","Carlow","Officers in armed forces","2016","Euro",""
"Median Earned Income","Carlow","Officers of non-governmental organisations","2016","Euro",""
"Median Earned Income","Carlow","Actuaries, economists and statisticians (incl. Business and related research professionals)","2016","Euro","35121"
"Median Earned Income","Carlow","Bakers and flour confectioners","2016","Euro","21587"
"Median Earned Income","Carlow","Opticians","2016","Euro",""
"Median Earned Income","Carlow","Other administrative occupations n.e.c. (incl. Records clerks and assistants, Library clerks and assistants and Typists and related keyboard occupations)","2016","Euro","23334"
"Median Earned Income","Carlow","Other drivers and transport operatives n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Other elementary services occupations n.e.c.","2016","Euro","18686"
"Median Earned Income","Carlow","Other skilled trades n.e.c.","2016","Euro","28464"
"Median Earned Income","Carlow","Packers, bottlers, canners and fillers","2016","Euro","22141"
"Median Earned Income","Carlow","Painters and decorators","2016","Euro","29042"
"Median Earned Income","Carlow","Paper and wood machine operatives","2016","Euro","29865"
"Median Earned Income","Carlow","Paramedics","2016","Euro","54428"
"Median Earned Income","Carlow","Parking and civil enforcement occupations","2016","Euro",""
"Median Earned Income","Carlow","Bank and post office clerks","2016","Euro","33969"
"Median Earned Income","Carlow","Pensions and insurance clerks and assistants","2016","Euro","26850"
"Median Earned Income","Carlow","Pest control officers","2016","Euro",""
"Median Earned Income","Carlow","Pharmaceutical technicians","2016","Euro","27595"
"Median Earned Income","Carlow","Pharmacists","2016","Euro","58976"
"Median Earned Income","Carlow","Pharmacy and other dispensing assistants","2016","Euro","18771"
"Median Earned Income","Carlow","Photographers, audio-visual and broadcasting equipment operators","2016","Euro","21835"
"Median Earned Income","Carlow","Physical scientists","2016","Euro",""
"Median Earned Income","Carlow","Physiotherapists","2016","Euro","39735"
"Median Earned Income","Carlow","Pipe fitters","2016","Euro","29695"
"Median Earned Income","Carlow","Planning, process and production technicians","2016","Euro","56805"
"Median Earned Income","Carlow","Bar staff","2016","Euro","14982"
"Median Earned Income","Carlow","Plant and machine operatives n.e.c. (incl. Process operatives n.e.c.)","2016","Euro","27186"
"Median Earned Income","Carlow","Plasterers","2016","Euro",""
"Median Earned Income","Carlow","Plastics process operatives","2016","Euro",""
"Median Earned Income","Carlow","Plumbers and heating and ventilating engineers","2016","Euro","30814"
"Median Earned Income","Carlow","Podiatrists","2016","Euro",""
"Median Earned Income","Carlow","Police officers (sergeant and below)","2016","Euro","63038"
"Median Earned Income","Carlow","Postal workers, mail sorters, messengers and couriers","2016","Euro","39697"
"Median Earned Income","Carlow","Precision instrument makers and repairers","2016","Euro","49477"
"Median Earned Income","Carlow","Primary and nursery education teaching professionals","2016","Euro","46372"
"Median Earned Income","Carlow","Print finishing and binding workers","2016","Euro",""
"Median Earned Income","Carlow","Barristers and judges (incl. Solicitors)","2016","Euro","59351"
"Median Earned Income","Carlow","Printers (incl. Pre-press technicians and Printing machine assistants)","2016","Euro","21723"
"Median Earned Income","Carlow","Prison service officers (below principal officer)","2016","Euro",""
"Median Earned Income","Carlow","Probation officers","2016","Euro",""
"Median Earned Income","Carlow","Production and process engineers","2016","Euro","65971"
"Median Earned Income","Carlow","Production managers and directors in construction","2016","Euro","49241"
"Median Earned Income","Carlow","Production managers and directors in manufacturing","2016","Euro","55860"
"Median Earned Income","Carlow","Programmers and software development professionals","2016","Euro","53209"
"Median Earned Income","Carlow","Protective service associate professionals n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Psychologists","2016","Euro",""
"Median Earned Income","Carlow","Public relations professionals","2016","Euro",""
"Median Earned Income","Carlow","Biological scientists and biochemists","2016","Euro","53563"
"Median Earned Income","Carlow","Public services associate professionals","2016","Euro","55223"
"Median Earned Income","Carlow","Publicans and managers of licensed premises","2016","Euro","21767"
"Median Earned Income","Carlow","Purchasing managers and directors","2016","Euro","41012"
"Median Earned Income","Carlow","Quality assurance and regulatory professionals","2016","Euro","47633"
"Median Earned Income","Carlow","Quality assurance technicians","2016","Euro","58348"
"Median Earned Income","Carlow","Quality control and planning engineers","2016","Euro",""
"Median Earned Income","Carlow","Quarry workers and related operatives","2016","Euro","33042"
"Median Earned Income","Carlow","Rail and rolling stock builders and repairers","2016","Euro",""
"Median Earned Income","Carlow","Rail construction and maintenance operatives","2016","Euro",""
"Median Earned Income","Carlow","Rail transport operatives","2016","Euro",""
"Median Earned Income","Carlow","Boat and ship builders and repairers","2016","Euro",""
"Median Earned Income","Carlow","Rail travel assistants","2016","Euro",""
"Median Earned Income","Carlow","Refuse and salvage occupations","2016","Euro",""
"Median Earned Income","Carlow","Research and development managers","2016","Euro","54035"
"Median Earned Income","Carlow","Residential, day and domiciliary care managers and proprietors","2016","Euro","33690"
"Median Earned Income","Carlow","Restaurant and catering establishment managers and proprietors","2016","Euro","25000"
"Median Earned Income","Carlow","Road construction operatives","2016","Euro","38872"
"Median Earned Income","Carlow","Roofers, roof tilers and slaters","2016","Euro",""
"Median Earned Income","Carlow","Roundspersons and van salespersons","2016","Euro",""
"Median Earned Income","Carlow","Routine inspectors and testers","2016","Euro","40150"
"Median Earned Income","Carlow","Rubber process operatives","2016","Euro",""
"Median Earned Income","Carlow","Book-keepers, payroll managers and wages clerks","2016","Euro","22432"
"Median Earned Income","Carlow","Sales accounts and business development managers","2016","Euro","45496"
"Median Earned Income","Carlow","Sales administrators","2016","Euro","27216"
"Median Earned Income","Carlow","Sales and retail assistants, cashiers and checkout operators (incl. Shelf fillers)","2016","Euro","16289"
"Median Earned Income","Carlow","Sales related occupations n.e.c. (incl. Estimators, valuers and assessors and Collector salespersons and credit agents)","2016","Euro","32059"
"Median Earned Income","Carlow","Sales supervisors","2016","Euro","23031"
"Median Earned Income","Carlow","School midday and crossing patrol occupations","2016","Euro",""
"Median Earned Income","Carlow","Science, engineering and production technicians n.e.c.","2016","Euro","55583"
"Median Earned Income","Carlow","Secondary education teaching professionals","2016","Euro","51810"
"Median Earned Income","Carlow","Secretarial and related occupations","2016","Euro","20689"
"Median Earned Income","Carlow","Security guards and related occupations","2016","Euro","26750"
"Median Earned Income","Carlow","Bricklayers and masons","2016","Euro","28762"
"Median Earned Income","Carlow","Senior care workers","2016","Euro",""
"Median Earned Income","Carlow","Senior police officers","2016","Euro",""
"Median Earned Income","Carlow","Senior professionals of educational establishments","2016","Euro","78236"
"Median Earned Income","Carlow","Sewing machinists","2016","Euro",""
"Median Earned Income","Carlow","Sheet metal workers","2016","Euro","28799"
"Median Earned Income","Carlow","Ship and hovercraft officers","2016","Euro",""
"Median Earned Income","Carlow","Shopkeepers and proprietors – wholesale and retail","2016","Euro","25254"
"Median Earned Income","Carlow","Skilled metal, electrical and electronic trades supervisors","2016","Euro","42984"
"Median Earned Income","Carlow","Skilled workers in horse-racing and related industries","2016","Euro","33152"
"Median Earned Income","Carlow","Smiths and forge workers (incl. Metal plate workers, and riveters)","2016","Euro",""
"Median Earned Income","Carlow","Brokers","2016","Euro",""
"Median Earned Income","Carlow","Social and humanities scientists","2016","Euro",""
"Median Earned Income","Carlow","Social services managers and directors","2016","Euro",""
"Median Earned Income","Carlow","Social workers","2016","Euro","40038"
"Median Earned Income","Carlow","Speech and language therapists","2016","Euro",""
"Median Earned Income","Carlow","Sports and leisure assistants","2016","Euro","4094"
"Median Earned Income","Carlow","Sports coaches, instructors and officials","2016","Euro","16817"
"Median Earned Income","Carlow","Sports players","2016","Euro","26116"
"Median Earned Income","Carlow","Stock control clerks and assistants","2016","Euro","28381"
"Median Earned Income","Carlow","Street cleaners","2016","Euro",""
"Median Earned Income","Carlow","Tailors and dressmakers","2016","Euro",""
"Median Earned Income","Carlow","Building and civil engineering technicians (incl. Engineering technicians)","2016","Euro","49068"
"Median Earned Income","Carlow","Taxi and cab drivers and chauffeurs","2016","Euro","11543"
"Median Earned Income","Carlow","Teaching assistants","2016","Euro","13250"
"Median Earned Income","Carlow","Teaching, special needs, and other educational professionals n.e.c.","2016","Euro","26483"
"Median Earned Income","Carlow","Telecommunications engineers","2016","Euro","33306"
"Median Earned Income","Carlow","Telephone salespersons","2016","Euro",""
"Median Earned Income","Carlow","Telephonists","2016","Euro",""
"Median Earned Income","Carlow","Textile process operatives","2016","Euro",""
"Median Earned Income","Carlow","Textiles, garments and related trades n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Therapy professionals n.e.c.","2016","Euro","19805"
"Median Earned Income","Carlow","Tool makers, tool fitters and markers-out","2016","Euro","38227"
"Median Earned Income","Carlow","Advertising accounts managers and creative directors","2016","Euro",""
"Median Earned Income","Carlow","Bus and coach drivers","2016","Euro","14577"
"Median Earned Income","Carlow","Train and tram drivers","2016","Euro",""
"Median Earned Income","Carlow","Transport and distribution clerks and assistants","2016","Euro","34378"
"Median Earned Income","Carlow","Travel agency managers and proprietors","2016","Euro",""
"Median Earned Income","Carlow","Travel agents","2016","Euro","31059"
"Median Earned Income","Carlow","TV, video and audio engineers","2016","Euro",""
"Median Earned Income","Carlow","Undertakers, mortuary and crematorium assistants","2016","Euro",""
"Median Earned Income","Carlow","Upholsterers","2016","Euro",""
"Median Earned Income","Carlow","Van drivers","2016","Euro","21626"
"Median Earned Income","Carlow","Vehicle and parts salespersons and advisers","2016","Euro","25157"
"Median Earned Income","Carlow","Vehicle body builders and repairers (incl. Vehicle paint technicians)","2016","Euro","28212"
"Median Earned Income","Carlow","Business and financial project management professionals","2016","Euro","49285"
"Median Earned Income","Carlow","Vehicle technicians, mechanics and electricians (incl. Tyre, exhaust and windscreen fitters)","2016","Euro","29330"
"Median Earned Income","Carlow","Vehicle valeters and cleaners","2016","Euro",""
"Median Earned Income","Carlow","Veterinarians","2016","Euro","51055"
"Median Earned Income","Carlow","Veterinary nurses","2016","Euro",""
"Median Earned Income","Carlow","Vocational and industrial trainers and instructors","2016","Euro","30898"
"Median Earned Income","Carlow","Waiters and waitresses","2016","Euro","10374"
"Median Earned Income","Carlow","Waste disposal and environmental services managers","2016","Euro",""
"Median Earned Income","Carlow","Water and sewerage plant operatives","2016","Euro",""
"Median Earned Income","Carlow","Weavers and knitters","2016","Euro",""
"Median Earned Income","Carlow","Web design and development professionals","2016","Euro",""
"Median Earned Income","Carlow","Business and related associate professionals n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Weighers, graders and sorters","2016","Euro",""
"Median Earned Income","Carlow","Welding trades (incl. Steel erectors)","2016","Euro","28380"
"Median Earned Income","Carlow","Welfare and housing associate professionals n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Welfare professionals n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Window cleaners","2016","Euro",""
"Median Earned Income","Carlow","Youth and community workers","2016","Euro","29758"
"Median Earned Income","Carlow","Business sales executives","2016","Euro","33760"
"Median Earned Income","Carlow","Business, research and administrative professionals n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Butchers","2016","Euro","21429"
"Median Earned Income","Carlow","Buyers and procurement officers","2016","Euro","35883"
"Median Earned Income","Carlow","Call and contact centre occupations","2016","Euro",""
"Median Earned Income","Carlow","Care escorts","2016","Euro","11085"
"Median Earned Income","Carlow","Care workers and home carers","2016","Euro","21022"
"Median Earned Income","Carlow","Advertising and public relations directors","2016","Euro",""
"Median Earned Income","Carlow","Careers advisers and vocational guidance specialists","2016","Euro","36167"
"Median Earned Income","Carlow","Caretakers","2016","Euro","18902"
"Median Earned Income","Carlow","Carpenters and joiners","2016","Euro","24734"
"Median Earned Income","Carlow","Catering and bar managers","2016","Euro","23552"
"Median Earned Income","Carlow","Chartered and certified accountants and taxation experts","2016","Euro","38940"
"Median Earned Income","Carlow","Chartered architectural technologists","2016","Euro",""
"Median Earned Income","Carlow","Chefs","2016","Euro","19547"
"Median Earned Income","Carlow","Chemical and related process operatives","2016","Euro","55802"
"Median Earned Income","Carlow","Chemical scientists","2016","Euro",""
"Median Earned Income","Carlow","Chief executives","2016","Euro","69326"
"Median Earned Income","Carlow","Agricultural and fishing trades n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Child and early years officers","2016","Euro",""
"Median Earned Income","Carlow","Childminders and related occupations","2016","Euro","12199"
"Median Earned Income","Carlow","Civil and public service AP, PO and equivalent grades (incl. Senior officers in fire, ambulance, prison and related services)","2016","Euro","70511"
"Median Earned Income","Carlow","Civil and public service Assistant Secretary and above and senior officials","2016","Euro",""
"Median Earned Income","Carlow","Civil engineers","2016","Euro","59694"
"Median Earned Income","Carlow","Cleaners and domestics","2016","Euro","10693"
"Median Earned Income","Carlow","Cleaning and housekeeping managers and supervisors","2016","Euro",""
"Median Earned Income","Carlow","Clergy","2016","Euro","20665"
"Median Earned Income","Carlow","Coal mine operatives","2016","Euro",""
"Median Earned Income","Carlow","Communication operators","2016","Euro",""
"Median Earned Income","Carlow","Agricultural machinery drivers","2016","Euro",""
"Median Earned Income","Carlow","Conference and exhibition managers and organisers","2016","Euro",""
"Median Earned Income","Carlow","Conservation and environmental associate professionals","2016","Euro",""
"Median Earned Income","Carlow","Conservation professionals","2016","Euro",""
"Median Earned Income","Carlow","Construction and building trades n.e.c.","2016","Euro","22627"
"Median Earned Income","Carlow","Construction and building trades supervisors","2016","Euro","40574"
"Median Earned Income","Carlow","Construction operatives n.e.c. (incl. Scaffolders, stagers and riggers)","2016","Euro","20541"
"Median Earned Income","Carlow","Construction project managers and related professionals","2016","Euro",""
"Median Earned Income","Carlow","Cooks","2016","Euro","14213"
"Median Earned Income","Carlow","Counsellors","2016","Euro",""
"Median Earned Income","Carlow","Crane drivers","2016","Euro",""
"Median Earned Income","Carlow","Air transport operatives","2016","Euro",""
"Median Earned Income","Carlow","Credit controllers","2016","Euro","25601"
"Median Earned Income","Carlow","Customer service managers and supervisors","2016","Euro","39921"
"Median Earned Income","Carlow","Customer service occupations n.e.c.","2016","Euro","17182"
"Median Earned Income","Carlow","Debt, rent and other cash collectors","2016","Euro",""
"Median Earned Income","Carlow","Dental practitioners","2016","Euro","71659"
"Median Earned Income","Carlow","Design and development engineers","2016","Euro","39965"
"Median Earned Income","Carlow","Driving instructors","2016","Euro",""
"Median Earned Income","Carlow","Education advisers and school inspectors","2016","Euro",""
"Median Earned Income","Carlow","Educational support assistants","2016","Euro","29632"
"Median Earned Income","Carlow","Elected officers and representatives","2016","Euro",""
"Median Earned Income","Carlow","Air travel assistants","2016","Euro",""
"Median Earned Income","Carlow","Electrical and electronic trades n.e.c.","2016","Euro","36219"
"Median Earned Income","Carlow","Electrical and electronics technicians","2016","Euro",""
"Median Earned Income","Carlow","Electrical engineers (incl. Electronics engineers)","2016","Euro","45834"
"Median Earned Income","Carlow","Electricians and electrical fitters","2016","Euro","35468"
"Median Earned Income","Carlow","Electroplaters","2016","Euro",""
"Median Earned Income","Carlow","Elementary administration occupations n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Elementary cleaning occupations n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Elementary construction occupations","2016","Euro","26497"
"Median Earned Income","Carlow","Elementary occupations in horse-racing and related industries","2016","Euro","28870"
"Median Earned Income","Carlow","Elementary process plant occupations n.e.c.","2016","Euro","27263"
"Median Earned Income","Carlow","Air-conditioning and refrigeration engineers","2016","Euro",""
"Median Earned Income","Carlow","Elementary sales occupations n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Elementary security occupations n.e.c.","2016","Euro",""
"Median Earned Income","Carlow","Elementary storage occupations","2016","Euro","25923"
"Median Earned Income","Carlow","Energy plant operatives","2016","Euro",""
"Median Earned Income","Carlow","Engineering professionals n.e.c.","2016","Euro","50219"
"Median Earned Income","Carlow","Environment professionals","2016","Euro",""
"Median Earned Income","Carlow","Environmental health professionals","2016","Euro",""
"Median Earned Income","Carlow","Estate agents and auctioneers","2016","Euro","30368"
"Median Earned Income","Carlow","Farm workers","2016","Euro","18912"
"Median Earned Income","Carlow","Farmers","2016","Euro","25802"
"Median Earned Income","Dublin City","Actors, entertainers and presenters (incl. Dancers and choreographers and Musicians)","2016","Euro","41211"
"Median Earned Income","Dublin City","Aircraft maintenance and related trades","2016","Euro","101707"
"Median Earned Income","Dublin City","Finance and investment analysts and advisers","2016","Euro","50819"
"Median Earned Income","Dublin City","Finance officers","2016","Euro","70799"
"Median Earned Income","Dublin City","Financial accounts managers","2016","Euro","59527"
"Median Earned Income","Dublin City","Financial administrative occupations n.e.c.","2016","Euro","32109"
"Median Earned Income","Dublin City","Financial and accounting technicians","2016","Euro","39551"
"Median Earned Income","Dublin City","Financial institution managers and directors","2016","Euro","77362"
"Median Earned Income","Dublin City","Financial managers and directors","2016","Euro","86623"
"Median Earned Income","Dublin City","Fire service officers (watch manager and below)","2016","Euro","65869"
"Median Earned Income","Dublin City","Fishing and other elementary agriculture occupations n.e.c.","2016","Euro","29216"
"Median Earned Income","Dublin City","Fishmongers and poultry dressers","2016","Euro","20959"
"Median Earned Income","Dublin City","Aircraft pilots and flight engineers (incl. Air traffic controllers)","2016","Euro","91820"
"Median Earned Income","Dublin City","Fitness instructors","2016","Euro","17172"
"Median Earned Income","Dublin City","Floorers and wall tilers","2016","Euro","27979"
"Median Earned Income","Dublin City","Florists","2016","Euro","16358"
"Median Earned Income","Dublin City","Food, drink and tobacco process operatives","2016","Euro","27494"
"Median Earned Income","Dublin City","Footwear and leather working trades","2016","Euro","19618"
"Median Earned Income","Dublin City","Forestry workers","2016","Euro",""
"Median Earned Income","Dublin City","Fork-lift truck drivers","2016","Euro","29872"
"Median Earned Income","Dublin City","Functional managers and directors n.e.c.","2016","Euro","56446"
"Median Earned Income","Dublin City","Furniture makers and other craft woodworkers","2016","Euro","25942"
"Median Earned Income","Dublin City","Further and higher education teaching professionals","2016","Euro","63125"
"Median Earned Income","Dublin City","Animal care services occupations n.e.c.","2016","Euro","27559"
"Median Earned Income","Dublin City","Garage managers and proprietors","2016","Euro","40137"
"Median Earned Income","Dublin City","Gardeners and landscape gardeners","2016","Euro","32669"
"Median Earned Income","Dublin City","Glass and ceramics makers, decorators and finishers (incl. Glass and ceramics process operatives)","2016","Euro","26122"
"Median Earned Income","Dublin City","Glaziers, window fabricators and fitters","2016","Euro","26247"
"Median Earned Income","Dublin City","Graphic designers (incl. Product, clothing and related designers)","2016","Euro","34361"
"Median Earned Income","Dublin City","Groundsmen and greenkeepers","2016","Euro","29071"
"Median Earned Income","Dublin City","Hairdressers and related services (incl. Hairdressing and beauty salon managers and proprietors)","2016","Euro","16790"
"Median Earned Income","Dublin City","Health and safety officers","2016","Euro","49256"
"Median Earned Income","Dublin City","Health associate professionals n.e.c.","2016","Euro","18530"
"Median Earned Income","Dublin City","Health care practice managers","2016","Euro","38901"
"Median Earned Income","Dublin City","Architects and town planners (incl. Quantity surveyors and Chartered surveyors)","2016","Euro","55000"
"Median Earned Income","Dublin City","Health professionals n.e.c.","2016","Euro","44071"
"Median Earned Income","Dublin City","Health services and public health managers and directors","2016","Euro","67098"
"Median Earned Income","Dublin City","Horticultural trades","2016","Euro","32070"
"Median Earned Income","Dublin City","Hospital porters","2016","Euro","39430"
"Median Earned Income","Dublin City","Hotel and accommodation managers and proprietors","2016","Euro","30535"
"Median Earned Income","Dublin City","Housekeepers and related occupations","2016","Euro","16807"
"Median Earned Income","Dublin City","Houseparents and residential wardens","2016","Euro","23384"
"Median Earned Income","Dublin City","Housing officers","2016","Euro","42471"
"Median Earned Income","Dublin City","Human resource managers and directors","2016","Euro","69684"
"Median Earned Income","Dublin City","Human resources administrative occupations","2016","Euro","30607"
